GF.ITS.VL31	GF.ITS.VL32	GF.ITS.VL33	GF.ITS.VL34	GF.ITS.VL35	GF.ITS.VL36	GF.ITS.VL37	GF.ITS.VL38	GF.ITS.VL39	GF.ITS.VL40	GF.ITS.VL41	GF.ITS.VL42	GF.ITS.VL43	GF.ITS.VL44	GF.ITS.VL45	GF.ITS.VL46	GF.ITS.VL47	GF.ITS.VL48	GF.ITS.VL49	GF.ITS.VL50	GF.ITS.VL51	GF.ITS.VL52	GF.ITS.VL53	GF.ITS.VL54	GF.ITS.VL56	GF.ITS.VL57	GF.ITS.VL58	GF.ITS.VL59	GF.ITS.VL60
g__Kondoa_4	0	0	0	0.00554545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Candida_cretensis_7	0	0.000545454545454545	0	0.00281818181818182	0.000545454545454545	0.00127272727272727	0.00290909090909091	0.00809090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Abrothallus	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Ascomycota_11	0.00427272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Cystobasidiomycetes_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Leptospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0
o__Pleosporales_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05
g__Dioszegia_1	0	0	0	0	0.000727272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Merismodes_granulosa_3	0	0	0	0	0	0	0	0	0.00581818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Alternaria_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0.0103636363636364
f__Filobasidiaceae	0	0	0	0	0	0	0	0.00418181818181818	0.00227272727272727	0.00527272727272727	0	0	0.00209090909090909	0	0	0	0	0.00363636363636364	0	0.00390909090909091	0	0	0	0	0	0	0	0	0
o__Capnodiales_3	0	0.000181818181818182	0	0.001	0.000363636363636364	0	0	0.000181818181818182	0	0	0	9.09090909090909e-05	0	0.000181818181818182	0	0	0	0	0	0	0	9.09090909090909e-05	0.000272727272727273	0	0	0	0	0	0
g__Dioszegia_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0
c__Dothideomycetes_5	0.00454545454545455	0	0	0.000181818181818182	0.000636363636363636	0	0	0	0	0.000363636363636364	0.00609090909090909	0	0	0	0.00245454545454545	0	0	0.000272727272727273	0.003	0	0	0	0	0	0	0.00127272727272727	0	0	0
c__Cystobasidiomycetes_3	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Debaryomyces_1	0.00590909090909091	0.0193636363636364	0.0318181818181818	0.150181818181818	0.05	0.0690909090909091	0.0551818181818182	0.0930909090909091	0.0109090909090909	0.00436363636363636	0.0175454545454545	0.012	0.0236363636363636	0.0909090909090909	0.00863636363636364	0.00963636363636364	0.0235454545454545	0.0431818181818182	0.00154545454545455	0.00290909090909091	0.000727272727272727	0.00790909090909091	0.0323636363636364	0.0143636363636364	0.0150909090909091	0.00254545454545455	0.022	0.00245454545454545	0.00190909090909091
s__Candida_cretensis_10	0	0	0	0	0	0	0.000636363636363636	0.00163636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Kwoniella_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0
f__Ustilaginaceae	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Periconia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0
g__Cytospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00681818181818182	0	0	0	0	0.0867272727272727	0.000636363636363636	0	0	0	0	0
c__Cystobasidiomycetes_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0
o__Pleosporales_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000727272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Ascomycota_14	0.00890909090909091	0	0.000363636363636364	0.000727272727272727	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Hormonema	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Stemphylium_2	0	0	0	0	0.289363636363636	0.0115454545454545	0	0	0	0	0	0	0	0	0.0202727272727273	0.00227272727272727	0	0	0	0.00509090909090909	0	0	0	0	0	0	0	0	0
g__Leptospora_1	0	0.000727272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Pleosporales_21	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Verticillium	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Sporobolomyces_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0
f__Pleosporaceae_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00127272727272727	0	0	0	0	0	0	0	0
g__Ramularia_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00136363636363636	0	0
g__Cystofilobasidium_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000818181818181818	0	0
g__Buckleyzyma_11	0.00136363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Ramularia_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Limonomyces	0.000454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Alternaria_infectoria_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197818181818182	0.00281818181818182	0	0	0	0	0
s__Merismodes_granulosa_5	0	0.000181818181818182	9.09090909090909e-05	0.00381818181818182	0.00154545454545455	0.00245454545454545	0	0.000363636363636364	0.182818181818182	0.0299090909090909	0.00827272727272727	0.0183636363636364	0.000727272727272727	0.000272727272727273	0.00290909090909091	0.000272727272727273	0	0.000454545454545455	0.00127272727272727	0	0	0.00981818181818182	0.000545454545454545	0	0.000363636363636364	0.000818181818181818	0	0	0
o__Capnodiales_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Buckleyzyma_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0
s__Cryptococcus_uniguttulatus	0	0	0	0	0	0.00172727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Pleosporales_22	0	0	0	0.00172727272727273	0.000363636363636364	0	0	0	0	0	0	0	0	0.000727272727272727	0	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0
g__Cryptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0.00109090909090909	0	0
o__Pleosporales_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00690909090909091	0	0.000181818181818182	0	0
f__Sporocadaceae	0	0	0	0.00318181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Stemphylium_3	0	0	0	0	0.011	0.00245454545454545	0	0	0	0.00836363636363636	0	0	0	0.0128181818181818	0.0176363636363636	0	0.00509090909090909	0.00227272727272727	0	0	0	0	0	0	0	0	0.0167272727272727	0	0
o__Dothideales_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000818181818181818	0	0
f__Lentitheciaceae_1	0.000636363636363636	0	0	0.000727272727272727	0	0	0	0	0	0.00109090909090909	0	0	0.00263636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Alternaria_13	0	0	0.000545454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Ascomycota_15	0.000545454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Dothideales_2	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0.000636363636363636	0	0	0	0	0
f__Sclerotiniaceae_3	0.000363636363636364	9.09090909090909e-05	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0.000636363636363636	0.000181818181818182	0	0	0	0	0	0	0	0	0
g__Cystofilobasidium_6	0	0	0	0.00245454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Cystobasidiomycetes_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0
o__Tremellales_5	0.002	0	0	0	0	0.00163636363636364	0.00227272727272727	0.00690909090909091	0	0	0.000181818181818182	0	0.000818181818181818	0.00381818181818182	0	0	0	0	0	0	0	0	0	0	0.00336363636363636	0.000272727272727273	0.00527272727272727	0.000636363636363636	0.000363636363636364
g__Paraphaeosphaeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00118181818181818	0	0	0	0	0	0	0	0	0	0	0
g__Buckleyzyma_13	0	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Filobasidium_2	0.00427272727272727	0	0.00809090909090909	0.00536363636363636	0	0	0.000545454545454545	0.00463636363636364	0.00318181818181818	0	0	0.000454545454545455	0.000454545454545455	0	0.000272727272727273	0.000272727272727273	0	0	0	0	0.000363636363636364	0.000181818181818182	0.000181818181818182	0	0	0	0	0.000818181818181818	0
g__Sporobolomyces_8	0	0	0.00181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Erythrobasidiaceae	0	0	0	0.000545454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Cystobasidiomycetes_6	0	0	0	0	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Cystobasidium_3	0	0	0	0.00509090909090909	0.00154545454545455	0	0.000818181818181818	0	0.000727272727272727	9.09090909090909e-05	0	0.00345454545454545	0	0	0	0	0.00145454545454545	0	0	0	0	0.000545454545454545	0	0	0	0	0.005	0	0
g__Kondoa_6	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Sporobolomyces_9	0.000636363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Pleosporaceae_11	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0
g__Diplodia_3	0	0	0	0	0	0.000363636363636364	0.000272727272727273	9.09090909090909e-05	0.000545454545454545	0	0	0	0	0.002	0.000636363636363636	0	0	0	0	0	0	0	0	0	0	0	0.000363636363636364	0	0
g__Vishniacozyma_6	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00154545454545455	0	0
s__Aureobasidium_pullulans	0	0	0	0	0	0.00263636363636364	0	0	0	0	0	0	0.0226363636363636	0.00345454545454545	0	0	0	0.00727272727272727	0	0.0203636363636364	0	0	0	0	0.01	0	0	0	0
g__Debaryomyces_2	0	0	0	0.00490909090909091	0	0	0	0.00236363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Tremellales_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Epicoccum	0.0168181818181818	0.00118181818181818	0.00336363636363636	0.0150909090909091	0.000181818181818182	0.000545454545454545	0.00745454545454545	0.00618181818181818	0.303818181818182	0.0953636363636364	0.0160909090909091	0.00327272727272727	0.00245454545454545	0.000636363636363636	0.00227272727272727	0.00136363636363636	0.00254545454545455	0.00472727272727273	0.000727272727272727	0.001	0.00218181818181818	0.00163636363636364	0.000272727272727273	0.00290909090909091	0.00418181818181818	0	0.00181818181818182	0.00109090909090909	0.000454545454545455
g__Kondoa_7	0	0	0	0	0	0	0	0	0	0.000818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Puccinia_coronata_3	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Stemphylium_4	0.02	0.0579090909090909	0.0519090909090909	0.0121818181818182	0.365090909090909	0.0644545454545455	0.005	0.0134545454545455	0.00390909090909091	0.205909090909091	0.0417272727272727	0.021	0.0113636363636364	0.426545454545455	0.552363636363636	0.0273636363636364	0.245454545454545	0.0709090909090909	0.00190909090909091	0	0.00372727272727273	0.00754545454545455	0.00590909090909091	0.00181818181818182	0.0100909090909091	0.002	0.541545454545455	0.00127272727272727	0.00318181818181818
s__Candida_cretensis_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00581818181818182	0.000818181818181818	0.00481818181818182	0	0.000545454545454545
g__Cryptococcus_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__unidentified_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Septoria	0	0	0	0	0	0.00190909090909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Erythrobasidiales_4	0	0	0.00163636363636364	0.00109090909090909	0	0.000272727272727273	0	0	0	0	0	0	0.000363636363636364	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0
o__Pleosporales_25	0	0	0.0233636363636364	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000636363636363636	0
o__Hypocreales_5	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Buckleyzyma_15	0	0	0	0.00154545454545455	0	0	0	0	0.000454545454545455	0.000545454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Cytospora_1	0	0	0.000181818181818182	0.000454545454545455	0	0.0136363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0.000181818181818182	0	0	0	0	0	0	0
c__Cystobasidiomycetes_7	0.00109090909090909	0	0	0	0	0.00409090909090909	0	0	0.000545454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Debaryomyces_3	0	0	0	0	0	0	0.000454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Malassezia_3	0.00427272727272727	0.00136363636363636	0.00190909090909091	0.000818181818181818	0.00136363636363636	0.00518181818181818	0.00118181818181818	0.000818181818181818	0.000454545454545455	0.000636363636363636	0.000636363636363636	0.00181818181818182	0.00118181818181818	0.000636363636363636	0.000363636363636364	0.000272727272727273	0.000545454545454545	0.000363636363636364	0.000818181818181818	0.005	0.000909090909090909	0	9.09090909090909e-05	0.000727272727272727	0.00245454545454545	0	0.00127272727272727	9.09090909090909e-05	9.09090909090909e-05
g__Alternaria_19	0	0	0	0	0	0	0	0	0.0458181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Cystobasidiomycetes_8	0	0.000636363636363636	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0.000272727272727273	0	0	0	0	0	0	0.00209090909090909	0	0
g__Neofusicoccum_2	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Kondoa_8	0	0.002	0	0.000909090909090909	0	0.00436363636363636	0	0	0.000545454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Capnodiales_7	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Lachancea	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Pestalotiopsis	0	0	0.000727272727272727	0.000545454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000636363636363636	0	0.00663636363636364	0	0	0	0	0	0	0	0
c__Dothideomycetes_8	0	0	0	0	0	0	0	0	0.000909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Coprinellus	0	0	0	0	0	0.00145454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Psathyrella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0
f__Lophiostomataceae	0.000454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Malassezia_5	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Papiliotrema_10	0	0	0	0	0	0	0	0	0.00127272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Phaeomoniellaceae_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000272727272727273	0	0
g__Wallemia_2	0	0	0.00263636363636364	0	0.000545454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Ascomycota_18	0	0.00236363636363636	0.00490909090909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0
o__Tremellales_7	0	0	0	0	0.000545454545454545	0.00172727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Clathrus	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Alternaria_21	0.0160909090909091	0.000636363636363636	0	0	0	0	0	0	0	0	0	0	0.000636363636363636	0	0.000272727272727273	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0
g__Cladosporium_3	0.439909090909091	0.420272727272727	0.477636363636364	0.374818181818182	0.0915454545454545	0.352454545454545	0.662090909090909	0.411	0.183636363636364	0.170727272727273	0.161818181818182	0.130636363636364	0.0710909090909091	0.216636363636364	0.225	0.627545454545455	0.365545454545455	0.148636363636364	0.699090909090909	0.105181818181818	0.365909090909091	0.503818181818182	0.150636363636364	0.404	0.161818181818182	0.00272727272727273	0.158545454545455	0.0391818181818182	0.0460909090909091
k__Fungi_17	0	0	0	0.00109090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Sirobasidiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.000454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Buckleyzyma_18	0	0	0	0	0	0	0	0	0.000818181818181818	0	0	0	0	0	0	0	0.00218181818181818	0	0	0	0	0	0	0	0	0	0	0	0
g__Coprinellus_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0
p__Ascomycota_19	0	0	0	0	0	0	0	0	0.000818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000727272727272727	0	0	0	0	0	0
g__Lachancea_1	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Trichoderma_1	0	0.000272727272727273	0	0	0	0	0.008	0.0448181818181818	0.0130909090909091	0.0465454545454545	0.124909090909091	0.193909090909091	0	9.09090909090909e-05	0	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0
p__Ascomycota_20	0	0.00527272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Agaricomycetes_1	0	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Ramularia_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0
o__Pleosporales_27	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Pleosporaceae_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00481818181818182	0	0	0	0	0	0
g__Meyerozyma	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	9.09090909090909e-05	0	0
g__Symmetrospora_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0
g__Diaporthe_3	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Pleosporales_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00727272727272727	0	0	0	0
o__Xylariales_5	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Papiliotrema_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00663636363636364	0	0	0	0	0	0	0	0	0
o__Pleosporales_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00918181818181818	0	0	0	0
g__Kondoa_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000818181818181818	0	0	0	0	0	0	0	0	0
c__Eurotiomycetes	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Paraconiothyrium	0	0	0.000636363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi_18	0	0	0	0	0	0	0.000454545454545455	0	0	0.000363636363636364	0.000181818181818182	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00154545454545455	0	0	0	0	0	0	0	0	0	0	0	0
o__Cystobasidiomycetes_ord_Incertae_sedis_2	0	0	0	0	0	0	0	0	0	0	0	0	0.000636363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Teratosphaeriaceae	0	0	0	0	0.000181818181818182	0	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Cystobasidiomycetes_11	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Malasseziaceae_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0
