GF.ITS.VL31	GF.ITS.VL32	GF.ITS.VL33	GF.ITS.VL34	GF.ITS.VL35	GF.ITS.VL36	GF.ITS.VL37	GF.ITS.VL38	GF.ITS.VL39	GF.ITS.VL40	GF.ITS.VL41	GF.ITS.VL42	GF.ITS.VL43	GF.ITS.VL44	GF.ITS.VL45	GF.ITS.VL46	GF.ITS.VL47	GF.ITS.VL48	GF.ITS.VL49	GF.ITS.VL50	GF.ITS.VL51	GF.ITS.VL52	GF.ITS.VL53	GF.ITS.VL54	GF.ITS.VL56	GF.ITS.VL57	GF.ITS.VL58	GF.ITS.VL59	GF.ITS.VL60
g__Vishniacozyma_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Alternaria_24	0	0.00790909090909091	0	0	0	0	0.00254545454545455	0.00454545454545455	0	0	0.013	0	0	0	0.00254545454545455	0.00390909090909091	0.00681818181818182	0.013	0	0	0.0146363636363636	0	0	0.00590909090909091	0	0.026	0	0.0250909090909091	0.0242727272727273
g__Vishniacozyma_10	0	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Lophiostomataceae_1	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Buckleyzyma_19	0	0	0	0	0.000545454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Teratosphaeria	0	0	0	0	0	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Pleosporales_31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00318181818181818	0	0	0	0
g__Sporobolomyces_12	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0.000272727272727273	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0
g__Kondoa_12	0.000909090909090909	0	0.00518181818181818	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	9.09090909090909e-05	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0
s__Blumeria_graminis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00154545454545455	0	0	0	0	0	0	0	0	0
c__Cystobasidiomycetes_13	0.000818181818181818	0	0	0	0	0	0	0.000909090909090909	0	0	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0
p__Ascomycota_23	0	0	0	0.00709090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Teratosphaeria_1	0	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Candida_cretensis_22	0	0	0	0	0	0	0	0	0.00136363636363636	0.000818181818181818	0.000818181818181818	0.004	0.000272727272727273	0.00718181818181818	0.000909090909090909	0.00172727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Alternaria_25	0.0188181818181818	0.0194545454545455	0.0100909090909091	0.00354545454545455	0.000818181818181818	0.009	0.00190909090909091	0.00109090909090909	0.000454545454545455	0.00681818181818182	0	0.00190909090909091	0.00136363636363636	0.000909090909090909	0.00109090909090909	0.0152727272727273	0	0.0167272727272727	0.161909090909091	0.00727272727272727	0	0	0	0	0	0.000181818181818182	0	0	0
g__Cystofilobasidium_7	0	0	0.00327272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Teloschistes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Malassezia_globosa_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0
g__Simplicillium	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Plectosphaerellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0
g__Neosetophoma_6	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Dioszegia_fristingensis_3	0	0	0	0	0	0	0	0	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Ascomycota_24	0	0	0	0	0	0	0	0.000909090909090909	0	0	0	0	0	0	0	0.00118181818181818	0	0	0	0	0	0	0	0	0.000909090909090909	0	0	0	0
g__Epicoccum_2	0.00536363636363636	0	0.003	0.00536363636363636	0	0.00190909090909091	0.000454545454545455	0.00427272727272727	0.00136363636363636	0	0	0	0.00190909090909091	0	0	0	0	9.09090909090909e-05	0.000545454545454545	0	0	0.00127272727272727	0	0	0	0.000181818181818182	0.000545454545454545	0	0
g__Colletotrichum	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Tremellales_11	0	0	0	0	0	0	0	0.00136363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Malassezia_globosa_13	0.000818181818181818	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0
f__Pleosporaceae_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0
g__Stemphylium_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0.024	0	0
p__Ascomycota_25	0.000272727272727273	0	0.00163636363636364	0.0184545454545455	0	0	0	0.000363636363636364	0.00118181818181818	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0.00109090909090909	0	0	0	0	0.004	0	0
o__Pleosporales_32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00254545454545455	0	0	0	0
f__Diatrypaceae_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00118181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Alternaria_29	0.0303636363636364	0.216363636363636	0.0500909090909091	0.0358181818181818	0.0207272727272727	0.0555454545454545	0.103363636363636	0.134	0	0.0913636363636364	0.466545454545455	0.0592727272727273	0.0858181818181818	0.0383636363636364	0.0650909090909091	0.118454545454545	0.171363636363636	0.398818181818182	0.00890909090909091	0.00345454545454545	0.520272727272727	0.0236363636363636	0.0259090909090909	0.185727272727273	0.00645454545454545	0.959363636363636	0.0277272727272727	0.912727272727273	0.896909090909091
f__Filobasidiaceae_1	0	0	0	0	0	0.00109090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Tremellales_12	0.00218181818181818	0.00236363636363636	0	0.0122727272727273	0.00427272727272727	0.00190909090909091	0	0.00990909090909091	0.00372727272727273	0.000545454545454545	0	0.00327272727272727	0	0	0.00281818181818182	0.00881818181818182	0.00209090909090909	0.00627272727272727	0.00163636363636364	0	0	0	0	0	0	0	0.00445454545454545	0	0
f__Pleosporaceae_14	0	0	0	0.000909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Stemphylium_7	0	0	0	0	0	0	0.000545454545454545	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Epicoccum_3	0	0	0	0	0	0	0	0	0.0118181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Ascomycota_26	0.00290909090909091	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000818181818181818	0	0	0	0	0	0	0
f__Pleosporaceae_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Cladosporium_5	0.0101818181818182	0.0131818181818182	0.0157272727272727	0.0113636363636364	0	0.0126363636363636	0.0197272727272727	0.0106363636363636	0	0.00445454545454545	0	0	0	0.00745454545454545	0.00563636363636364	0.0172727272727273	0.00954545454545455	0.00454545454545455	0.0209090909090909	0	0.00863636363636364	0.0139090909090909	0.004	0.013	0	0	0.00536363636363636	0	0
g__Podosphaera_2	0	0	0	0.000545454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Filobasidiaceae_3	0	0	0	0	0	0	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Merismodes_granulosa_8	0	0	0	0	0	0	0	0	0	0.00290909090909091	0	0	0	0	0	0	0	0	0	0	0	0.00654545454545455	0	0	0	0	0	0	0
g__Ramularia_11	0	0	0.00154545454545455	0.00181818181818182	0	0	0	0	0	0.000727272727272727	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0.000181818181818182	0	0.0135454545454545	0	0	0	0
f__Aureobasidiaceae_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00136363636363636	0	0	0	0	0
f__Filobasidiaceae_4	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Vishniacozyma_dimennae_8	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Stemphylium_8	0	0	0	0	0.0114545454545455	0	0	0	0	0.00654545454545455	0	0	0	0.0138181818181818	0.019	0	0.00745454545454545	0	0	0	0	0	0	0	0	0	0.0168181818181818	0	0
k__unidentified_8	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Ascomycota_29	0	0	0	0	0	0.00154545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Vishniacozyma_dimennae_9	0	0.000636363636363636	0.000545454545454545	0.00154545454545455	0.000363636363636364	0.000818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000363636363636364	0	0	0.001	0	0
s__Blumeria_graminis_1	0	0.00109090909090909	0	9.09090909090909e-05	0	0	0	0	0.000181818181818182	0	0	0	0	0.000727272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0.00172727272727273	0	0
g__Microdochium	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Agaricostilbales	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Lophiostomataceae_2	0	0	0	0	0	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Cystobasidiomycetes_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0
k__unidentified_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00136363636363636	0	0
f__Phaeosphaeriaceae_9	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.000636363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Lophiostomataceae_3	0	0	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Tremellales_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0
g__Neofusicoccum_3	0	0	0.000454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00327272727272727	0.0374545454545455	0	9.09090909090909e-05	0	0	0	0	0.00890909090909091	0	0
o__Pleosporales_35	0	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0.000363636363636364	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0
g__Buckleyzyma_20	0	0.000545454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Agaricostilbales_1	0	0	0	0.00172727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Hypocreales_7	0	0	0	0	0	0	0	0	0	0	0	0.0126363636363636	0	0	0	0	0	0	0	0	0	0	0	0.00772727272727273	0	0	0	0	0
o__Tremellales_15	0	0	0.00109090909090909	0	0.000727272727272727	0	0	0.000818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000363636363636364	0
f__Filobasidiaceae_5	0	0	0	0.000727272727272727	0	0.000909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Phoma_glomerata_2	0	0	0	0	0	0	0	0	0	0	0.00872727272727273	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Filobasidiaceae_6	0	0	0	0	0.000545454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Symmetrospora_7	0.0105454545454545	0.00272727272727273	0.0207272727272727	0.0192727272727273	0.00936363636363636	0.012	0.00263636363636364	0.004	0.00236363636363636	0.00227272727272727	0.000909090909090909	0.00927272727272727	0.000727272727272727	0.00181818181818182	0.000545454545454545	0.00563636363636364	0.00154545454545455	0.00490909090909091	0.000454545454545455	0.00136363636363636	0	0.00272727272727273	0.00136363636363636	0.00336363636363636	0.00318181818181818	0	0.014	0.000818181818181818	0.000454545454545455
k__Fungi_23	0	0	0	0.000454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Filobasidium_6	0	0	0	0	0.002	0.00372727272727273	0	0	0	0	0	0	0	0	0	0	0.000818181818181818	0.00209090909090909	9.09090909090909e-05	0	0	0	0	0.000181818181818182	0	0	0	0	0.000181818181818182
f__Phaeosphaeriaceae_10	0	0	0	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Didymellaceae_9	0	0	0	0.000636363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Acremonium_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00127272727272727	0	0	0	0	0
k__Fungi_24	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0.000818181818181818	0	0
k__Fungi_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0
g__Nigrospora	0	0	0.000545454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Papiliotrema_14	0	0.001	0	0.00945454545454546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Kondoaceae_3	0	9.09090909090909e-05	0.00136363636363636	0	0.00172727272727273	0	0	0.000636363636363636	0.000545454545454545	0.000181818181818182	0	0	0	0	0.000272727272727273	0	0.000727272727272727	0.000727272727272727	0	0	0	0	0	0	0	0	0	0	0
g__Debaryomyces_4	0	0	0	0.00372727272727273	0	0	0	0.00236363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Anthracocystis	0	0	0	0	0	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Diatrypaceae_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00354545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Eurotiales_1	0	0	0	0	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Capnodiales_8	0	0	0.00172727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__unidentified_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000636363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Naganishia_1	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Papiliotrema_16	0	0.00363636363636364	0.00390909090909091	0.00890909090909091	0.000818181818181818	0.00154545454545455	0	0.00218181818181818	0	0	0	0	0	0	0	0	0.000545454545454545	0	0	0.000363636363636364	0	0	0	0.000909090909090909	0	0	0.0305454545454545	0	0
g__Vishniacozyma_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000909090909090909	0	0	0	0
s__Merismodes_granulosa_9	0	0	0	0.000909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Capnodiales_9	0.000363636363636364	0.00118181818181818	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000818181818181818	0
g__Aureobasidium_1	0.138454545454545	0.0891818181818182	0.0724545454545455	0.0683636363636364	0.0377272727272727	0.132454545454545	0.0399090909090909	0.0883636363636364	0.0359090909090909	0.0569090909090909	0.0426363636363636	0.0345454545454545	0.742090909090909	0.113	0.0421818181818182	0.0562727272727273	0.0928181818181818	0.220818181818182	0.0279090909090909	0.685181818181818	0.00563636363636364	0.0519090909090909	0.0106363636363636	0.0218181818181818	0.356090909090909	0.00154545454545455	0.0208181818181818	0.00227272727272727	0.00327272727272727
g__Rhodotorula_1	0.00127272727272727	0	0.000363636363636364	0.00618181818181818	0.00118181818181818	0.00272727272727273	0	0.000363636363636364	0	0	0.000363636363636364	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0.000272727272727273	0.00118181818181818	0	0	0.000272727272727273	0	0
f__Cystobasidiaceae	0	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Genolevuria	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Podosphaera_3	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0.000636363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Alternaria_35	0.000363636363636364	0.001	0.000454545454545455	0	0	0.000818181818181818	0	0	0	0	0	0	0	0	0	0.00172727272727273	0	0.00418181818181818	0	0	0.00409090909090909	0	0.002	0.000181818181818182	0	0	0	0	0.000727272727272727
s__Malassezia_globosa_14	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Capnodiales_10	0	0	0	0	0	0	0	0.000636363636363636	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Vishniacozyma_16	0	0	0	0	0	0.00136363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0.00190909090909091	0	9.09090909090909e-05	0	0	0	0.012	0	0.01	0	0
p__Ascomycota_31	0	0	0	0	0	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Pleosporaceae_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00372727272727273	0	0	0	0	0	0	0	0	0	0
s__Malassezia_globosa_16	0	0.000363636363636364	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Peniophora_2	0	0	0	0	0	0	0.000454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Sporobolomyces_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0.00127272727272727	0.000636363636363636	0	0	0	0
g__Punctelia	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Teratosphaeriaceae_1	0	0	0	0	0	0	0	0	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Malassezia_globosa_17	0	0	0.000545454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Pseudomicrostroma_3	0	0	0	0	0	0	0	9.09090909090909e-05	0.000454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000363636363636364	0	0	0	0
g__Fusarium_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000818181818181818	0	0	0	0	0	0	0	0	0	0
g__Cystobasidium_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00236363636363636	0	0	0	0	0	0	0	0	0
g__Erysiphe_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00136363636363636	0	0	0	0	0	0	0	0	0
f__Stictidaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00145454545454545	0	0
g__Vishniacozyma_18	0.00627272727272727	0.00445454545454545	0.00490909090909091	0.00563636363636364	0.00290909090909091	0	0.000272727272727273	0.00554545454545455	0.00127272727272727	0.000545454545454545	0.000363636363636364	0.00218181818181818	0	0.000727272727272727	9.09090909090909e-05	0	0.000363636363636364	0.000545454545454545	0	0.0195454545454545	0	0.00109090909090909	0.000636363636363636	0.000454545454545455	0	0	0.0112727272727273	0	9.09090909090909e-05
k__unidentified_11	0	0.000545454545454545	0.00245454545454545	0	0	0	9.09090909090909e-05	0	0	0	9.09090909090909e-05	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0
s__Fusarium_sarcochroum	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Hypocreales_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Kondoaceae_4	0.000545454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Merismodes_granulosa_10	0	0	0	0	0	0	0	0	0.00663636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Buckleyzyma_21	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Stemphylium_9	0	0.0231818181818182	0	0.004	0	0	0.00209090909090909	0.0109090909090909	0.0154545454545455	0.0122727272727273	0.0358181818181818	0.00581818181818182	0	0	0	0	0.0131818181818182	0.00272727272727273	0	0	0	0	0	0	0	0	0	0	0
f__Lophiotremataceae_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0
k__Fungi_29	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Kondoa_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000454545454545455	0	0
g__Cryptococcus_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000818181818181818	0	0	0	0	0	0
g__Papiliotrema_17	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Kondoa_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0
p__Ascomycota_32	0	0	0	0.00145454545454545	0	0	0.00145454545454545	0.00154545454545455	0	0	0	0	0	0	0	0	0.000818181818181818	0	0	0	0	0	0	0	0	0	0	0	0
g__Stemphylium_10	0.00181818181818182	0.00218181818181818	0.00145454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Dioszegia_7	0	0	0.000363636363636364	0	0	0	0	0	0.000454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Cystobasidiomycetes_ord_Incertae_sedis_3	0	0	0.00909090909090909	0	0.000454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
